question_id,eq_id,part_number,question_count,time_limit_in_ms,audio_duration_in_ms
2667,p4-152,4,3,32654.693877551017,89964.08163265306
2668,p4-152,4,3,32654.693877551017,89964.08163265306
2669,p4-152,4,3,32654.693877551017,89964.08163265306
2670,p4-153,4,3,35423.67346938776,98271.02040816327
2671,p4-153,4,3,35423.67346938776,98271.02040816327
2672,p4-153,4,3,35423.67346938776,98271.02040816327
2673,p4-154,4,3,32889.795918367345,90669.38775510206
2674,p4-154,4,3,32889.795918367345,90669.38775510206
2675,p4-154,4,3,32889.795918367345,90669.38775510206
2676,p4-155,4,3,32315.102040816328,88945.30612244898
2677,p4-155,4,3,32315.102040816328,88945.30612244898
2678,p4-155,4,3,32315.102040816328,88945.30612244898
2679,p4-156,4,3,33986.93877551021,93960.81632653062
2680,p4-156,4,3,33986.93877551021,93960.81632653062
2681,p4-156,4,3,33986.93877551021,93960.81632653062
2682,p4-157,4,3,34936.054421768706,96808.16326530612
2683,p4-157,4,3,34936.054421768706,96808.16326530612
2684,p4-157,4,3,34936.054421768706,96808.16326530612
2685,p4-158,4,3,35519.45578231292,98558.36734693879
2686,p4-158,4,3,35519.45578231292,98558.36734693879
2687,p4-158,4,3,35519.45578231292,98558.36734693879
2688,p4-159,4,3,36320.54421768708,100961.63265306123
2689,p4-159,4,3,36320.54421768708,100961.63265306123
2690,p4-159,4,3,36320.54421768708,100961.63265306123
2691,p4-160,4,3,33638.63945578231,92915.91836734694
2692,p4-160,4,3,33638.63945578231,92915.91836734694
2693,p4-160,4,3,33638.63945578231,92915.91836734694
2694,p4-161,4,3,35876.46258503401,99629.38775510203
2695,p4-161,4,3,35876.46258503401,99629.38775510203
2696,p4-161,4,3,35876.46258503401,99629.38775510203
2697,p4-162,4,3,33508.02721088436,92524.08163265308
2698,p4-162,4,3,33508.02721088436,92524.08163265308
2699,p4-162,4,3,33508.02721088436,92524.08163265308
2700,p4-163,4,3,32854.965986394556,90564.89795918367
2701,p4-163,4,3,32854.965986394556,90564.89795918367
2702,p4-163,4,3,32854.965986394556,90564.89795918367
2703,p4-164,4,3,34169.79591836735,94509.38775510206
2704,p4-164,4,3,34169.79591836735,94509.38775510206
2705,p4-164,4,3,34169.79591836735,94509.38775510206
2706,p4-165,4,3,35780.680272108846,99342.04081632654
2707,p4-165,4,3,35780.680272108846,99342.04081632654
2708,p4-165,4,3,35780.680272108846,99342.04081632654
2709,p4-166,4,3,34091.42857142857,94274.28571428572
2710,p4-166,4,3,34091.42857142857,94274.28571428572
2711,p4-166,4,3,34091.42857142857,94274.28571428572
2712,p4-167,4,3,33577.68707482993,92733.06122448981
2713,p4-167,4,3,33577.68707482993,92733.06122448981
2714,p4-167,4,3,33577.68707482993,92733.06122448981
2715,p4-168,4,3,34161.08843537415,94483.26530612244
2716,p4-168,4,3,34161.08843537415,94483.26530612244
2717,p4-168,4,3,34161.08843537415,94483.26530612244
2718,p4-169,4,3,35954.82993197279,99864.48979591837
2719,p4-169,4,3,35954.82993197279,99864.48979591837
2720,p4-169,4,3,35954.82993197279,99864.48979591837
2721,p4-170,4,3,32236.73469387756,88710.20408163266
2722,p4-170,4,3,32236.73469387756,88710.20408163266
2723,p4-170,4,3,32236.73469387756,88710.20408163266
2724,p4-311,4,3,31984.217687074834,87952.6530612245
2725,p4-311,4,3,31984.217687074834,87952.6530612245
2726,p4-311,4,3,31984.217687074834,87952.6530612245
2727,p4-312,4,3,34718.36734693878,96155.10204081633
2728,p4-312,4,3,34718.36734693878,96155.10204081633
